Municipio|CP|Dirección|Gasolina95|Gasoleo|Distancia
Getafe|28906|POLIGONO CENTRO LOGISTICO DE ABASTECIMIENTO-PARCELA, 13|1,885|1,939|14.83321747033035
Getafe|28906|CALLE FRANKLIN, 1|1,799|1,799|11.882259787114311
Getafe|28906|CALLE ERATOSTENES, 15||1,872|12.71070149301846
Getafe|28909|CALLE DIESEL, 9|1,923|1,923|12.546690540071557
Griñón|28971|M-404 km 17,8|1,889|1,889|26.738958497252856
Griñón|28971|AVENIDA HUMANES, 171||1,839|23.786677233353778
Guadalix de la Sierra|28794|CARRETERA TORRELAGUNA ? EL ESCORIAL KM. 3|1,885|1,949|41.67027991877023
Guadarrama|28440|PASEO MOLINO DEL REY, 4|1,864|1,915|43.920669434538624
Guadarrama|28440|CALLE LOS ESCORIALES, 5|1,849|1,899|44.01202615591811
Guadarrama|28440|CARRETERA N-VI KM. 48|1,858|1,929|43.96374246499536
Guadarrama|28440|PASEO MOLINO DEL REY, 39|1,747|1,777|43.443550820144736
Guadarrama|28440|CARRETERA M527 KM. 2,8||1,730|42.01783753307637
Horcajo de la Sierra|28755|N-1 km 87|1,949|1,889|76.88978366697154
Hoyo de Manzanares|28240|CALLE AMADEO VIVES, 2|1,879|1,895|28.119051495087213
Humanes de Madrid|28970|AVENIDA DE LAS FLORES, 2|1,869|1,929|19.67100215167158
Humanes de Madrid|28970|AVENIDA LA INDUSTRIA, S/N|1,839|1,919|18.022778518197335
Humanes de Madrid|28970|CARRETERA AVD.DE LA INDUSTRIA KM. 15|1,869|1,929|18.201219776237878
Humanes de Madrid|28970|CALLE TENERIFE (DE), 2|1,819||18.40743585194721
Humanes de Madrid|28970|CR M-405 (AV. FUENLABRADA)  0.5|1,839|1,879|20.22429439618343
Humanes de Madrid|28970|CARRETERA M-405 KM. 5,6|1,854|1,925|23.239793330893864
Humanes de Madrid|28970|CARRETERA M-405 KM. 6|1,854|1,925|22.85987240452534
Humanes de Madrid|28970|CL MADRID, 52|1,855|1,939|20.291261135708833
Humanes de Madrid|28970|CARRETERA AVENIDA  DE LA INDUSTRIA , 46 KM. 1,1|1,855|1,939|18.643902590073143
Humanes de Madrid|28970|AVENIDA FUENLABRADA, 6|1,719|1,719|19.761919830847113
Humanes de Madrid|28970|AVENIDA FUENLABRADA, 110|1,729|1,729|18.628954633395495
Leganés|28912|CALLE PUERTO NAVACERRADA, 1 - POLIGONO INDUSTRIAL PRADOVERA, 1|1,869|1,915|7.0181582792432495
Leganés|28912|AVENIDA FUENLABRADA, 16|1,879|1,969|10.396121380927253
Leganés|28911|AVENIDA LENGUA ESPAÑOLA, 24|1,869|1,915|9.838277236754209
Leganés|28911|AVENIDA LENGUA ESPAÑOLA, S/N|1,869|1,915|9.637827784726891
Leganés|28914|CALLE REY PASTOR, 16|1,799|1,819|10.061705378517907
Leganés|28914|CALLE MARC GENE, 2|1,879|1,949|12.999205295228679
Leganés|28914|CALLE CARLOS SAINZ, SN|1,889|1,869|11.72257487075497
Leganés|28914|CALLE CARLOS SAINZ, S/N|1,869|1,879|11.690201881565594
Leganés|28914|CARRETERA M-407 KM. 1800|1,869|1,929|15.201044888502851
Leganés|28914|CALLE SEVERO OCHOA ESQUINA CALLE JULIO PALACIOS, S/N|1,839|1,819|10.99251435843563
Leganés|28914|CALLE ARROYO DEL SOTO, 2|1,909|1,919|13.32179053803161
Leganés|28913|CARRETERA R-5 KM. 5,5|1,879|1,969|12.527920680562977
Leganés|28913|CARRETERA R-5 KM. 5,5|1,879|1,969|12.16784519290163
Leganés|28913|AVENIDA DR. MENDIGUCHIA GARRICHE, 40|1,899|1,939|10.902983108942676
Leganés|28914|CALLE CALLE DEL TRUENO, S/N|1,824|1,884|11.307683919318022
Leganés|28918|CALLE PEDRO LARA, 8||1,779|6.761791450551664
Leganés|28918|AVENIDA PUERTA DEL SOL, 2|1,849|1,879|9.200979530037538
Leganés|28917|CALLE SAN BERNARDO, S/N|1,885|1,929|9.106926526632176
Leganés|28917|CL ALAVA , S.N.|1,885|1,929|8.993186410928447
Leganés|28917|CALLE VIZCAYA, 17|1,799|1,819|8.955597364330385
Loeches|28890|CARRETERA M-300 KM. 13|1,875|1,959|24.313336315892975
Loeches|28890|AUTOPISTA AUTOPISTA R-3 LOECHES KM. 19,5|1,879|1,969|21.87803127839223
Loeches|28890|AUTOPISTA AUTOPISTA R-3 LOECHES KM. 19,5|1,879|1,969|21.69562197925932
Loeches|28890|CALLE CAÑADA DEL POZO, SN|1,764|1,799|23.4946699710388
Lozoya|28742|CARRETERA M-604 KM. 14,100|1,879|1,919|61.161338844220715
Lozoya|28742|CARRETERA M-604,KM.14.100 KM. 14,100|1,879|1,919|61.11887419575909
Lozoyuela-Navas-Sieteiglesias|28752|CTRA. N-I km 64,650|1,869|1,899|55.70124265879037
Lozoyuela-Navas-Sieteiglesias|28752|AUTOVIA N-1 KM. 65|1,899|1,939|55.502720523846385
Madrid|28008|PASEO MORET, 7|1,929|1,949|3.682933706142433
